'Age','Frequency of ordering before Covid,Frequency of ordering after Covid,On a scale of 0-5', 'how important are covid protocols for you','Average order value','Average delivery time','Average delivery fee On a scale of 0-5', 'would you pay for subscription'
18 - 30,4,2,4,300 - 600,30 - 45 minutes,25 - 50,3,
18 - 30,10,4,4,600 - 900,15 - 30 minutes,50 - 75,3,
40 - 50,3,4,2,600 - 900,30 - 45 minutes,50 - 75,3,
18 - 30,6,5,4,600 - 900,30 - 45 minutes,25 - 50,5,
18 - 30,10,6,2,600 - 900,30 - 45 minutes,25 - 50,4,
18 - 30,5,6,5,Below 300,30 - 45 minutes,25 - 50,4,
18 - 30,9,5,2,300 - 600,15 - 30 minutes,Below 25,4,
18 - 30,9,7,5,600 - 900,30 - 45 minutes,25 - 50,4,
Below 18,3,4,3,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,10,1,2,600 - 900,30 - 45 minutes,25 - 50,4,
18 - 30,5,7,5,600 - 900,30 - 45 minutes,25 - 50,0,
18 - 30,3,3,4,600 - 900,45 - 60 minutes,25 - 50,0,
18 - 30,3,4,4,300 - 600,30 - 45 minutes,25 - 50,1,
18 - 30,7,4,2,300 - 600,30 - 45 minutes,25 - 50,3,
18 - 30,5,5,2,300 - 600,15 - 30 minutes,25 - 50,3,
18 - 30,8,4,3,Below 300,30 - 45 minutes,25 - 50,5,
18 - 30,9,7,3,300 - 600,30 - 45 minutes,50 - 75,3,
Below 18,2,5,2,300 - 600,30 - 45 minutes,25 - 50,3,
18 - 30,4,6,2,300 - 600,15 - 30 minutes,50 - 75,2,
18 - 30,6,4,5,300 - 600,30 - 45 minutes,75 - 100,5,
18 - 30,5,3,3,300 - 600,15 - 30 minutes,50 - 75,0,
18 - 30,7,3,2,Below 300,30 - 45 minutes,25 - 50,3,
18 - 30,10,7,4,Below 300,15 - 30 minutes,25 - 50,5,
18 - 30,7,6,5,Below 300,15 - 30 minutes,25 - 50,0,
18 - 30,7,6,2,Below 300,30 - 45 minutes,Below 25,3,
18 - 30,6,3,5,300 - 600,15 - 30 minutes,Below 25,1,
18 - 30,4,1,5,900 - 1200,30 - 45 minutes,Below 25,2,
18 - 30,5,1,2,900 - 1200,30 - 45 minutes,25 - 50,3,
18 - 30,8,1,2,900 - 1200,30 - 45 minutes,75 - 100,1,
18 - 30,10,1,2,600 - 900,15 - 30 minutes,25 - 50,4,
18 - 30,7,2,3,600 - 900,45 - 60 minutes,25 - 50,4,
18 - 30,10,7,3,Below 300,45 - 60 minutes,25 - 50,1,
18 - 30,3,3,3,1200 - 1500,45 - 60 minutes,75 - 100,2,
Below 18,6,1,4,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,2,3,2,300 - 600,30 - 45 minutes,Below 25,0,
18 - 30,9,2,5,600 - 900,30 - 45 minutes,25 - 50,0,
18 - 30,5,2,4,300 - 600,15 - 30 minutes,25 - 50,5,
18 - 30,9,7,4,300 - 600,15 - 30 minutes,Below 25,4,
18 - 30,10,4,3,300 - 600,15 - 30 minutes,25 - 50,4,
Below 18,4,3,5,300 - 600,30 - 45 minutes,50 - 75,0,
18 - 30,2,1,2,300 - 600,15 - 30 minutes,Below 25,5,
18 - 30,9,7,2,300 - 600,45 - 60 minutes,25 - 50,2,
18 - 30,4,2,3,300 - 600,30 - 45 minutes,Below 25,0,
18 - 30,4,7,2,600 - 900,15 - 30 minutes,Below 25,4,
18 - 30,2,6,2,300 - 600,15 - 30 minutes,25 - 50,5,
18 - 30,4,1,2,600 - 900,45 - 60 minutes,50 - 75,3,
18 - 30,7,4,3,600 - 900,30 - 45 minutes,25 - 50,4,
18 - 30,2,6,5,300 - 600,30 - 45 minutes,25 - 50,0,
18 - 30,3,3,2,300 - 600,30 - 45 minutes,50 - 75,0,
18 - 30,7,3,5,Below 300,30 - 45 minutes,25 - 50,2,
18 - 30,4,4,2,1200 - 1500,45 - 60 minutes,50 - 75,4,
18 - 30,7,5,3,Below 300,30 - 45 minutes,25 - 50,0,
18 - 30,10,3,4,Below 300,15 - 30 minutes,Below 25,5,
30 - 40,5,3,4,300 - 600,30 - 45 minutes,50 - 75,4,
18 - 30,3,1,2,Below 300,15 - 30 minutes,Below 25,2,
18 - 30,9,1,2,300 - 600,30 - 45 minutes,25 - 50,4,
18 - 30,5,6,5,300 - 600,15 - 30 minutes,Below 25,3,
18 - 30,7,4,4,Below 300,15 - 30 minutes,25 - 50,5,
Below 18,10,1,2,Below 300,15 - 30 minutes,Below 25,2,
18 - 30,7,5,2,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,10,1,2,900 - 1200,45 - 60 minutes,Below 25,0,
18 - 30,5,1,3,600 - 900,30 - 45 minutes,75 - 100,2,
18 - 30,5,3,5,600 - 900,45 - 60 minutes,25 - 50,5,
18 - 30,2,7,5,600 - 900,15 - 30 minutes,25 - 50,1,
18 - 30,9,6,5,Below 300,15 - 30 minutes,25 - 50,1,
18 - 30,6,6,2,600 - 900,30 - 45 minutes,25 - 50,1,
18 - 30,2,7,3,600 - 900,30 - 45 minutes,25 - 50,3,
18 - 30,2,2,2,Below 300,30 - 45 minutes,25 - 50,0,
18 - 30,8,7,2,300 - 600,30 - 45 minutes,25 - 50,3,
18 - 30,8,2,3,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,6,6,3,Below 300,30 - 45 minutes,Below 25,5,
18 - 30,10,3,3,300 - 600,15 - 30 minutes,25 - 50,4,
18 - 30,4,5,5,600 - 900,30 - 45 minutes,25 - 50,1,
18 - 30,5,6,4,300 - 600,15 - 30 minutes,Below 25,5,
Below 18,8,6,2,300 - 600,30 - 45 minutes,25 - 50,3,
18 - 30,10,4,2,600 - 900,30 - 45 minutes,25 - 50,0,
18 - 30,8,2,3,300 - 600,30 - 45 minutes,Below 25,1,
18 - 30,10,4,2,300 - 600,30 - 45 minutes,25 - 50,4,
18 - 30,2,4,3,Below 300,30 - 45 minutes,25 - 50,2,
Below 18,5,7,4,300 - 600,45 - 60 minutes,25 - 50,3,
18 - 30,7,1,4,300 - 600,30 - 45 minutes,25 - 50,3,
